X,Y,Z,X,Y,Z,W
-3.061265,313.482178,41.677372,0.000021,0.000032,-0.000032,1
-3.059826,313.481018,41.678486,0.000028,0.000034,-0.00002,1
-3.063156,313.47934,41.678398,0.000025,0.000034,-0.000024,1
-3.05925,313.483276,41.678867,0.000033,0.000034,-0.000033,1
-3.062307,313.478729,41.676891,0.000027,0.000032,-0.000019,1
-3.060321,313.479187,41.678608,0.000033,0.000035,-0.000031,1
-3.06203,313.485229,41.676086,0.000021,0.000036,-0.000029,1
-3.060643,313.47937,41.678162,0.000026,0.000035,-0.000028,1
-3.060072,313.481842,41.677864,0.000021,0.000033,-0.000029,1
-3.06261,313.480865,41.678101,0.000022,0.000031,-0.000028,1
-3.059588,313.482697,41.677853,0.00003,0.000029,-0.000032,1
-3.062208,313.479156,41.678001,0.000032,0.000028,-0.000032,1
-3.059546,313.483398,41.677238,0.000034,0.000031,-0.000036,1
-3.061319,313.479706,41.677395,0.00003,0.000026,-0.000034,1
-3.060367,313.480469,41.676826,0.000025,0.000026,-0.000031,1
-3.061273,313.479736,41.67704,0.000018,0.000027,-0.000023,1
-3.061434,313.481262,41.676735,0.00005,0.000026,-0.000035,1
-3.059649,313.483154,41.676842,0.000034,0.000026,-0.000022,1
-3.061031,313.477417,41.677265,0.000039,0.000029,-0.000026,1
-3.060287,313.483582,41.676636,0.000037,0.000033,-0.000025,1
-3.06229,313.47818,41.676868,0.000019,0.000032,-0.000026,1
-3.060005,313.48233,41.677021,0.000031,0.000036,-0.000033,1
-3.062067,313.480347,41.67598,0.000031,0.000035,-0.000021,1
-3.060149,313.478851,41.676853,0.000041,0.000036,-0.000022,1
-3.060912,313.483398,41.67564,0.000028,0.000034,-0.000023,1
-3.061319,313.479279,41.677265,0.000031,0.000036,-0.000016,1
-3.060849,313.483063,41.676155,0.000027,0.000032,-0.000026,1
-3.062228,313.48053,41.676926,0.000027,0.00003,-0.00002,1
-3.060703,313.482635,41.675995,0.000018,0.000033,-0.000036,1
-3.061634,313.481964,41.676937,0.000027,0.000034,-0.000031,1
-3.0606,313.479462,41.676331,0.000029,0.000029,-0.000026,1
-3.06318,313.482635,41.676456,0.000025,0.000029,-0.000015,1
-3.060947,313.480255,41.67635,0.000039,0.000029,-0.000031,1
-3.061228,313.482819,41.676743,0.000019,0.000029,-0.000022,1
-3.061841,313.481781,41.676643,0.000036,0.000029,-0.000026,1
-3.0605,313.480438,41.676826,0.000029,0.000027,-0.000031,1
-3.062155,313.480133,41.676689,0.000037,0.000029,-0.000032,1
-3.060156,313.481873,41.677078,0.000032,0.000032,-0.000036,1
-3.061149,313.482422,41.676769,0.000037,0.000028,-0.000033,1
-3.060015,313.478821,41.676441,0.000035,0.000029,-0.000021,1
-3.060846,313.482208,41.677181,0.000032,0.000029,-0.000021,1
-3.061032,313.482086,41.675972,0.000034,0.000033,-0.000012,1
-3.05994,313.481262,41.677357,0.000027,0.000034,-0.000021,1
-3.060958,313.482178,41.67783,0.000034,0.000031,-0.000012,1
-3.060483,313.479156,41.676521,0.000029,0.000032,-0.000018,1
-3.062198,313.481934,41.678837,0.000034,0.000033,-0.000024,1
-3.060831,313.479645,41.676601,0.000033,0.00003,-0.000019,1
-3.061733,313.481995,41.677631,0.000027,0.000033,-0.00002,1
-3.061912,313.483551,41.677353,0.000029,0.000032,-0.000017,1
-3.061438,313.478271,41.675694,0.000025,0.000031,-0.000022,1
-3.063232,313.485443,41.678391,0.000026,0.000033,-0.000026,1
-3.062844,313.481262,41.677151,0.00003,0.000027,-0.000019,1
-3.062755,313.482269,41.677658,0.000028,0.000031,-0.000019,1
-3.062762,313.479614,41.677032,0.000025,0.000028,-0.000028,1
-3.06192,313.481506,41.676983,0.000036,0.000027,-0.000034,1
