x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,f_t,l0,l1,l2,l3,l4,l5,l6,l7,l8
0.041022234,0.341835596,0.066742031,-0.08741086,0.011525541,-0.020018415,0.995904497,0,-32.65442033,-24.85051818,-8.929099022,-11.58157779,-15.27123611,-10.2174054,-26.81431998,-36.49970551,-20.69149521
0.027761435,0.345054452,0.074572491,-0.125868921,0.01725352,0.008448945,0.99186085,0,-42.06981608,-28.99538832,-10.96222422,-13.98197764,-15.10892712,-12.94547619,-26.11313421,-35.37603286,-21.32144032
0.015576127,0.348229259,0.080037914,-0.159507452,0.021217004,0.037343929,0.986261954,0,-50.83057315,-33.91201139,-12.71970245,-15.64025102,-15.98343454,-14.70616417,-25.06683126,-34.77102476,-21.19614862
0.003716943,0.351816698,0.082458769,-0.182904888,0.022208195,0.063339849,0.980836715,0,-59.33901089,-36.73951092,-15.08935718,-18.05246118,-18.80135016,-15.90816075,-25.12296972,-33.90034894,-20.91823851
-0.010261566,0.355021012,0.083757754,-0.206732015,0.020929853,0.095747789,0.973476336,0,-65.48616102,-38.88162714,-16.38018112,-20.44386365,-22.21788398,-16.61726037,-23.14055746,-31.31609107,-20.49663681
-0.024746664,0.357573986,0.083401574,-0.224210658,0.016604426,0.119617237,0.96702926,0,-71.68273132,-25.95146247,-17.63654917,-22.38625031,-24.95776986,-17.97418715,-21.47125556,-28.70291626,-18.98688051
-0.037987154,0.362131119,0.087394403,-0.246526776,0.012594999,0.140113181,0.958871322,0,-77.9040117,-44.63515737,-19.2506893,-24.25412907,-26.75933176,-18.9800275,-21.15850883,-25.85028299,-17.9080469
-0.049194772,0.366445108,0.089720199,-0.26403341,0.009465969,0.165371579,0.950183664,0,-83.91264713,-48.45078204,-20.21871545,-26.38475387,-28.54173167,-20.11032463,-19.42403969,-23.40292049,-17.04467464
-0.059174006,0.370419288,0.091082635,-0.277527107,0.005643767,0.186888265,0.942347934,0,-89.66496007,-51.5073716,-20.86368463,-28.1217517,-31.43955058,-20.85285016,-18.47870935,-20.85819337,-16.58903306
-0.066759216,0.374723132,0.093281236,-0.299675119,0.003761038,0.209501859,0.930746823,0,-95.58911178,-52.15944361,-21.6471253,-30.33693605,-33.320079,-22.22648989,-17.4029484,-20.81478395,-15.96225682
-0.071820968,0.378315487,0.09389503,-0.312989014,0.003288677,0.231805694,0.921028328,0,-101.9741829,-54.08425684,-23.39980174,-33.09121364,-34.54196217,-23.31568671,-16.18697215,-21.12203337,-16.22491325
-0.077534355,0.383084404,0.096396952,-0.329453418,0.00274102,0.255789438,0.908859008,0,-108.2147136,-56.27044068,-25.41209605,-36.19003787,-36.10952272,-24.11266209,-15.72588825,-22.35461221,-16.78228601
-0.074039407,0.38230624,0.102883612,-0.33464375,0.006680856,0.237476219,0.911906778,0,-106.1338286,-56.86498841,-27.06037259,-34.07595154,-35.30483828,-23.22081889,-17.26853708,-23.07163708,-16.50274159
-0.073986911,0.380619252,0.108937794,-0.328164592,0.006988617,0.216090951,0.919545464,0,-102.3293085,-58.9873788,-29.5235536,-31.11050186,-34.36157318,-22.06842034,-18.624909,-21.99499432,-15.32187626
-0.07452701,0.378956302,0.11663463,-0.319482567,0.004683191,0.186783516,0.928989169,0,-98.26297088,-61.42369051,-32.01918684,-27.19437051,-32.74901776,-21.3107441,-20.33814246,-20.84651773,-14.06535047
-0.077650982,0.379651783,0.128012,-0.323129649,0.000962622,0.164830921,0.93188898,0,-95.94072447,-66.11696289,-34.8310462,-23.92789833,-31.47681717,-20.60042902,-22.1548067,-19.73712422,-13.67099445
-0.082480012,0.379715695,0.138481804,-0.300544844,-0.004367048,0.137356859,0.943815034,0,-90.29052367,-71.93871559,-37.87601862,-22.26125573,-29.999794,-20.21379453,-24.32318632,-18.79727227,-12.80772332
-0.083423311,0.381034197,0.147204466,-0.286243892,-0.00733045,0.116561936,0.9510121,0,-86.42634569,-78.69970847,-41.56254757,-22.21952792,-27.89535953,-19.91400032,-26.81742363,-18.76719108,-12.60999463
