x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,mass,l0,l1,l2,l3,l4,l5,l6,l7,l8
0.007239764,0.147743667,0.130416209,0.428592978,0.048114491,0.001262687,0.902214753,500,-56.31598921,-49.86567504,-42.15269549,-155.9841668,-129.478876,-71.83106365,-96.90020099,-86.42467882,-55.4705561
0.016964223,0.141536044,0.130254459,0.413274999,0.04908103,0.016951806,0.909124559,500,-61.12110417,-50.8608294,-42.74978811,-152.9825066,-129.0858785,-71.73408034,-98.69094637,-93.36757378,-59.04151901
0.026990617,0.1346122,0.127413601,0.367386945,0.037698942,0.030193524,0.928813207,500,-65.24705422,-36.82402789,-41.06606197,-150.1223694,-127.509869,-71.70737521,-102.0000524,-96.90393977,-66.56268983
0.037617743,0.126448726,0.127981307,0.346850951,0.038023863,0.042604365,0.936180256,500,-70.05216918,-37.81918225,-41.66315458,-147.1207092,-127.1168715,-71.61039191,-103.7907978,-103.8468347,-70.13365275
0.048795898,0.119693551,0.125032449,0.290317586,0.020621468,0.040929359,0.955832225,500,-74.44270168,-30.62335867,-41.41983782,-141.8648104,-127.632368,-72.22354769,-105.6657235,-108.2614652,-73.27971962
0.060254396,0.111069567,0.126515909,0.266980183,0.019033817,0.048877587,0.962273494,500,-79.24781664,-31.61851304,-42.01693044,-138.8631502,-127.2393705,-72.12656439,-107.4564688,-115.2043602,-76.85068253
0.071909504,0.105457325,0.126958809,0.220133763,0.001428091,0.044253123,0.974464339,500,-84.14564037,-28.21817843,-41.44381837,-135.7843708,-127.37562,-72.15965063,-110.5643044,-121.1081229,-80.50919743
0.082629997,0.116703538,0.131582403,0.248283265,-0.03442998,0.044240048,0.967064018,500,-75.87047677,-27.1814885,-40.82180441,-136.126547,-129.9962853,-73.36631427,-114.0514099,-123.0467254,-81.37482972
0.093054046,0.133756812,0.137854026,0.277087974,-0.057266488,0.044830582,0.958088213,500,-69.29166754,-24.84705408,-37.8146881,-135.6801636,-132.5065741,-74.93801269,-115.6470605,-125.4407619,-84.459238
0.103446779,0.142748427,0.143295689,0.307837992,-0.095920147,0.044779004,0.945531563,500,-61.01650393,-23.81036414,-37.19267414,-136.0223399,-135.1272393,-76.14467634,-119.134166,-127.3793645,-85.32487029
0.111568336,0.155575969,0.149685367,0.317916974,-0.11553229,0.036985674,0.940326086,500,-57.33951752,-40.57480196,-33.42810901,-133.8702363,-137.2427164,-80.98385737,-121.450544,-129.695684,-87.29989057
0.117893473,0.160525553,0.154582804,0.322282341,-0.133805481,0.034453435,0.936505818,500,-49.06435391,-39.53811203,-32.80609504,-134.2124126,-139.8633816,-82.19052101,-124.9376495,-131.6342865,-88.16552286
0.129829008,0.176258467,0.164605552,0.33602655,-0.156032309,0.023056057,0.928551827,500,-34.31327889,-26.77698597,-20.7878055,-134.5074489,-142.3814528,-81.08844335,-127.3143913,-134.5867476,-88.38584915
0.134612907,0.180051925,0.168918659,0.340825855,-0.169546561,0.020306532,0.924488694,500,-26.03811528,-25.74029604,-20.16579154,-134.8496251,-145.0021181,-82.295107,-130.8014968,-136.5253501,-89.25148144
0.136141296,0.167054462,0.161815409,0.298607517,-0.166909323,0.015822285,0.939534184,500,-53.52731523,-22.70605229,-14.3215095,-126.7842364,-140.3776743,-81.00653158,-128.0938763,-138.586612,-86.79586337
0.138284342,0.158386741,0.157681829,0.274953377,-0.172941429,0.015230051,0.945653186,500,-53.42947089,-22.83402661,-14.32536525,-121.2924177,-134.0795275,-77.79732681,-124.8164377,-135.9409447,-85.41289829
0.138880672,0.132236857,0.145323177,0.265580781,-0.203319145,0.016160957,0.942266946,500,-38.92514869,-18.68089189,-11.40515211,-114.513814,-121.2682323,-66.62343672,-126.3239081,-127.173742,-76.06860672
0.139606994,0.119578481,0.137969983,0.243268035,-0.205487003,0.014435142,0.947832993,500,-38.82730434,-18.80886621,-11.40900787,-109.0219952,-114.9700856,-63.41423195,-123.0464695,-124.5280746,-74.68564164
