x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
-0.058886239,0.118217796,0.339972353,-0.136786573,-0.058151736,0.003122592,0.988887283,-57.69550094,-45.30322689,-35.38942719,-89.96457338,-98.7767028,-53.03075718,-74.04544741,-37.33299844,-33.87873421
-0.057313612,0.136789258,0.346127148,-0.182630035,-0.05997364,-0.004094791,0.981342277,-53.87038679,-43.39510267,-34.36393395,-94.96961607,-102.6029151,-51.47014507,-74.45916072,-41.67633866,-18.95425513
-0.062626308,0.151920748,0.353983235,-0.217663035,-0.078647483,-0.004856668,0.972838008,-49.29454474,-45.29740372,-35.16437799,-102.3833765,-105.0405476,-52.53825479,-73.96172809,-39.61588837,-17.7733235
-0.064562454,0.170423961,0.364266495,-0.26606492,-0.105171179,-0.004182062,0.958191521,-45.16906663,-42.21949214,-35.42685339,-110.0177781,-108.3224699,-52.6670036,-73.91986843,-40.45733333,-35.74561815
-0.072300125,0.188180466,0.375535057,-0.306867448,-0.127538624,-0.00740765,0.943139118,-40.59322457,-44.1217932,-36.22729744,-117.4315386,-110.7601024,-53.73511332,-73.4224358,-38.39688304,-34.56468652
-0.075536291,0.213376539,0.390294359,-0.362485686,-0.146040088,-0.010505156,0.920416244,-36.54256449,-40.98398793,-35.70875716,-124.8806196,-112.1948798,-58.53354259,-73.07778966,-42.13738037,-18.66036803
-0.081316792,0.224896502,0.402357984,-0.397324764,-0.166071498,-0.013542557,0.902424451,-31.96672243,-42.88628899,-36.5092012,-132.2943801,-114.6325122,-59.60165231,-72.58035703,-40.07693008,-17.4794364
-0.077949923,0.247828033,0.420459276,-0.454571523,-0.180245934,-0.009877572,0.872226214,-27.42847137,-40.91853688,-36.12515308,-139.6508009,-115.7437171,-65.75992181,-73.28431764,-42.3419536,-33.76181134
-0.085406306,0.260415492,0.43540919,-0.486544977,-0.198004051,-0.018602868,0.850718705,-22.85262931,-42.82083794,-36.92559712,-147.0645613,-118.1813495,-66.82803153,-72.78688501,-40.28150331,-32.58087971
-0.075158763,0.268823882,0.446227636,-0.517081682,-0.193736248,-0.012746547,0.833624811,-22.36172868,-38.44876007,-37.45799345,-151.920546,-119.8685177,-70.07897044,-74.76711785,-45.55153704,-34.78434945
-0.071316471,0.280125799,0.456342824,-0.533029278,-0.199259325,-0.001442594,0.822297652,-21.17703257,-34.43670879,-35.73263586,-156.9552006,-121.9188997,-71.38482947,-76.67165406,-50.53383385,-37.55616591
-0.073764238,0.285939433,0.468527315,-0.56328206,-0.196312093,-0.017644216,0.802411094,-20.1142342,-36.76964422,-37.83615523,-162.2755202,-123.7126747,-74.56322845,-78.31403858,-49.80999912,-23.31880902
-0.069042775,0.293986104,0.478406952,-0.580412319,-0.198362734,-0.009810753,0.789732559,-18.92953808,-32.75759294,-36.11079765,-167.3101748,-125.7630567,-75.86908747,-80.21857479,-54.79229594,-26.09062548
-0.060438281,0.294103762,0.487831189,-0.606613122,-0.196442689,-0.000986735,0.77034396,-17.80579084,-20.36803501,-38.54987854,-172.4126619,-128.2851352,-78.03621648,-82.89203516,-53.32152698,-39.93285526
-0.054498654,0.286059229,0.481815616,-0.593208309,-0.19295559,0.016952914,0.781399156,-22.6109058,-21.36318937,-39.14697116,-169.4110017,-127.8921377,-77.93923317,-84.68278053,-60.26442194,-43.50381818
-0.059599159,0.276450926,0.469737661,-0.568409272,-0.171213785,0.000321759,0.804733891,-26.47149519,-41.34459041,-40.62628302,-169.1432578,-130.2849885,-75.64788485,-86.10798798,-61.65578401,-33.10998775
