x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
-0.00321144,0.01709133,0.279885511,-0.074255351,0.057689577,0.009036609,0.995528199,-17.86825124,-25.19345874,-18.86856125,-31.65996944,-23.12440923,-19.55905422,-40.71919421,-21.15879516,-15.2809021
-0.019631712,0.025014485,0.283236774,-0.089197447,0.031902788,0.008427176,0.995467232,-20.5646443,-29.21998748,-20.83205584,-38.52697756,-27.33401016,-21.61408491,-39.31562039,-20.66109747,-14.98228348
-0.031569239,0.0274726,0.285927145,-0.098205346,-0.00178021,0.009597604,0.995118298,-22.48291235,-33.56057871,-22.62211294,-44.92054817,-28.5576736,-23.90817811,-39.19173407,-21.88839979,-17.05085237
-0.046801044,0.033556964,0.290395182,-0.10764851,-0.030901185,0.010102561,0.993657312,-25.17930541,-37.58710744,-24.58560754,-51.78755628,-32.76727453,-25.96320881,-37.78816024,-21.3907021,-16.75223376
-0.058097313,0.036784054,0.294590662,-0.117089388,-0.067867201,0.007897157,0.990768264,-27.78663596,-41.02066743,-26.98738339,-58.34284564,-36.15890671,-27.68777076,-37.09943017,-22.73050442,-18.5372089
-0.074704433,0.045371226,0.301732216,-0.137797436,-0.094597636,0.007482867,0.985904235,-30.48302902,-45.04719616,-28.95087799,-65.20985376,-40.36850764,-29.74280145,-35.69585634,-22.23280673,-18.23859029
-0.087499611,0.046992528,0.30689554,-0.144294582,-0.126206335,0.005982492,0.981435298,-33.05989082,-49.45224052,-31.88351321,-71.69600249,-42.1441242,-32.23259778,-34.79970439,-23.55385905,-19.80676855
-0.102509993,0.050875393,0.313387118,-0.149422223,-0.150430298,0.002168018,0.977260981,-35.75628388,-53.47876925,-33.84700781,-78.56301061,-46.35372513,-34.28762847,-33.39613057,-23.05616136,-19.50814994
-0.11381301,0.052718239,0.319910655,-0.154412647,-0.190074317,-0.001671351,0.969549223,-39.66791131,-56.8695558,-36.29507272,-85.46458903,-48.89633388,-35.13504198,-32.02126768,-22.56783868,-21.41792977
-0.129131931,0.056590352,0.327952021,-0.162467367,-0.214703909,-0.007077555,0.963045427,-42.36430436,-60.89608453,-38.25856732,-92.33159715,-53.10593481,-37.19007268,-30.61769386,-22.07014099,-21.11931116
-0.121550787,0.045266116,0.32662162,-0.142355019,-0.215021115,-0.001550905,0.966177294,-47.26044118,-60.57081457,-38.50231957,-91.29296861,-51.97864832,-35.61953542,-32.79324489,-25.37684342,-23.05468436
-0.10869903,0.034112444,0.324471251,-0.122364756,-0.20207069,0.00410705,0.971687931,-51.47396082,-60.78841571,-38.80378666,-88.06205492,-47.85985793,-33.75280675,-35.10444045,-31.75385834,-26.43585835
-0.107736982,0.020784554,0.321503077,-0.086593828,-0.189507631,0.006071587,0.97803451,-55.95378904,-60.73458129,-39.15139633,-85.10228381,-48.8368195,-34.13417378,-36.59781374,-29.92071701,-26.24413195
-0.095240984,0.011031778,0.320696839,-0.070980908,-0.181358073,0.008401838,0.980816175,-60.16730868,-60.95218243,-39.45286342,-81.87137012,-44.71802911,-32.26744511,-38.9090093,-36.29773193,-29.62530593
-0.092191381,0.001211753,0.318865409,-0.045197918,-0.166564744,0.010739353,0.984935531,-63.08898261,-61.63406579,-39.8524018,-79.75102772,-47.04711469,-35.27476429,-40.73629373,-38.49466873,-29.64502972
-0.078052389,-0.010460924,0.319627812,-0.022762769,-0.152008272,0.012482764,0.988038219,-67.30250224,-61.85166692,-40.15386889,-76.52011403,-42.9283243,-33.40803562,-43.04748929,-44.87168365,-33.02620371
-0.070878734,-0.024197383,0.31795726,0.007611878,-0.132634535,0.011639466,0.991067436,-70.49509902,-63.80140916,-40.57937163,-73.24448598,-44.8834719,-35.40333088,-44.59172928,-48.70865951,-33.9016526
-0.055722555,-0.037585866,0.319329445,0.032404493,-0.11712596,0.008406267,0.992552665,-74.70861866,-64.0190103,-40.88083872,-70.01357229,-40.76468151,-33.53660221,-46.90292484,-55.08567443,-37.28282658
-0.053523339,-0.05116879,0.319831057,0.066766931,-0.096758634,0.008013434,0.993033599,-78.78667687,-65.17768199,-41.76932363,-65.63530143,-41.85786011,-22.4258855,-48.53064262,-59.74266983,-34.16113802
