x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
-2.18E-03,3.32E-01,4.98E-02,-1.21E-01,-1.08E-02,1.42E-01,-9.82E-01,-0.007519825,0.331594805,0.048784614,-0.104506788,-0.012497904,0.133068559,-0.98550059
5.57E-02,3.16E-01,8.55E-02,-2.66E-02,-1.03E-02,-1.76E-02,-9.99E-01,0.055837927,0.317459136,0.082529427,-0.039464756,-0.000357955,0.001461155,-0.999219354
-3.62E-03,3.18E-01,7.26E-02,-1.09E-02,-1.31E-02,6.15E-02,-9.98E-01,0.009344989,0.316072669,0.07241242,-0.022556125,-0.012110983,0.050057342,-0.99841663
2.47E-02,3.43E-01,1.60E-01,1.37E-01,-6.33E-03,3.92E-02,-9.90E-01,0.026861725,0.339663808,0.159490504,0.142907346,-0.006120422,0.042381434,-0.988807809
2.11E-02,3.31E-01,1.18E-01,-3.91E-02,-1.00E-02,7.18E-02,-9.97E-01,0.03119633,0.329574849,0.120942268,-0.009352985,-0.007329671,0.058100264,-0.998240042
4.35E-03,3.33E-01,2.72E-02,-1.64E-01,-1.54E-02,1.10E-01,-9.80E-01,0.013726093,0.328879519,0.026130178,-0.146687478,-0.016443806,0.084802352,-0.98540353
1.21E-01,3.25E-01,1.46E-01,7.75E-02,1.29E-02,-3.09E-02,-9.96E-01,0.104805636,0.320626271,0.132385277,0.043631784,0.006678312,-0.016491838,-0.998887038
-2.65E-03,3.25E-01,1.05E-01,1.12E-03,-9.91E-03,8.08E-02,-9.97E-01,0.006967263,0.322594917,0.109491708,0.014449558,-0.011814487,0.082716139,-0.996397332
7.68E-02,3.35E-01,1.53E-01,8.45E-02,2.05E-02,4.16E-02,-9.95E-01,0.067189476,0.330495234,0.143458323,0.068861938,0.015809487,0.050938705,-0.996199413
2.98E-02,3.36E-01,1.21E-01,-1.44E-02,2.86E-03,1.24E-02,-1.00E+00,0.034150734,0.332058851,0.12161195,-0.000849841,0.00075914,0.034909371,-0.999389823
1.40E-01,3.35E-01,1.47E-01,2.16E-02,3.69E-03,-7.08E-02,-9.97E-01,0.132668372,0.334729679,0.150777565,0.022173187,0.004436508,-0.061723215,-0.997831047
