Format Version,1.24,Take Name,Take 2024-08-07 11.30.36 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-08-07 11.30.37.870 AM,Capture Start Frame,4110063,Total Frames in Take,3020,Total Exported Frames,3020,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.216667,-0.001752,-0.168948,-0.000338,0.985623,-14.631993,252.428238,-4.592001,22.456802,250.374283,49.932083,-46.026737,254.108841,-58.020790,-77.855820,252.799362,34.130512,42.897778,252.430344,-44.409809,22.613201,250.660507,49.782398,-46.517418,254.496658,-57.750435,-77.760559,252.488556,33.723576,43.095715,252.046432,-44.075684,-40.996048,380.426300,-35.210548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-0.001776,-0.168953,-0.000355,0.985622,-14.633077,252.431747,-4.591791,22.454998,250.378555,49.932808,-46.027122,254.111435,-58.021015,-77.857338,252.807083,34.129971,42.897163,252.429840,-44.408924,22.611286,250.665634,49.782551,-46.519081,254.499817,-57.749424,-77.762444,252.494995,33.721958,43.095726,252.044952,-44.074436,-40.994274,380.444946,-35.211876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,-0.001768,-0.168951,-0.000333,0.985623,-14.633317,252.428528,-4.591631,22.455111,250.376556,49.932777,-46.027699,254.107269,-58.020687,-77.857422,252.800613,34.130432,42.896732,252.429642,-44.409035,22.612213,250.662354,49.782131,-46.517506,254.493622,-57.749714,-77.763420,252.488083,33.723377,43.093906,252.045929,-44.074772,-40.992504,380.426239,-35.208038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,-0.001762,-0.168953,-0.000317,0.985623,-14.633082,252.425430,-4.592095,22.455231,250.374313,49.932423,-46.027340,254.103485,-58.021248,-77.857315,252.795197,34.129765,42.897099,252.428680,-44.409313,22.612370,250.661346,49.781818,-46.518337,254.491501,-57.752598,-77.763222,252.481934,33.724087,43.095539,252.043091,-44.074085,-40.996105,380.432190,-35.211826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,-0.001739,-0.168955,-0.000330,0.985622,-14.632943,252.429657,-4.592581,22.455107,250.375214,49.931988,-46.026947,254.110901,-58.021782,-77.857330,252.798615,34.129032,42.897404,252.433868,-44.409557,22.610510,250.660660,49.781605,-46.518650,254.498001,-57.751938,-77.762558,252.488586,33.723450,43.097076,252.051773,-44.075806,-40.993420,380.425934,-35.212040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,-0.001763,-0.168953,-0.000334,0.985622,-14.632768,252.428268,-4.591810,22.455431,250.375717,49.932732,-46.026928,254.107559,-58.020981,-77.857025,252.800018,34.130001,42.897446,252.429688,-44.408978,22.611216,250.661972,49.783115,-46.516956,254.494217,-57.751900,-77.760559,252.488556,33.723473,43.093922,252.044983,-44.073940,-40.993721,380.441101,-35.208378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,-0.001772,-0.168954,-0.000331,0.985622,-14.632954,252.431839,-4.591754,22.455187,250.380402,49.932865,-46.027058,254.110062,-58.020992,-77.857254,252.804123,34.129971,42.897305,252.432709,-44.408859,22.612492,250.665543,49.782753,-46.519321,254.495682,-57.749844,-77.763603,252.494720,33.722248,43.096207,252.051300,-44.074593,-40.996243,380.435120,-35.212311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-0.001770,-0.168951,-0.000318,0.985623,-14.631164,252.425842,-4.591739,22.457373,250.375443,49.932652,-46.025646,254.103180,-58.020786,-77.855232,252.796417,34.130379,42.898849,252.428299,-44.409199,22.611235,250.662354,49.781528,-46.517124,254.491425,-57.748665,-77.758064,252.484314,33.722782,43.097370,252.043304,-44.074429,-40.993660,380.439270,-35.206112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-0.001753,-0.168956,-0.000321,0.985622,-14.630581,252.430405,-4.590981,22.457388,250.378098,49.933723,-46.024509,254.109589,-58.020294,-77.855042,252.799744,34.130497,42.899841,252.434097,-44.407848,22.613607,250.664444,49.784733,-46.516357,254.497375,-57.750786,-77.760193,252.490341,33.723476,43.098000,252.052216,-44.073513,-40.990944,380.442749,-35.207806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,-0.001762,-0.168953,-0.000315,0.985623,-14.628730,252.425827,-4.592968,22.459581,250.374908,49.931557,-46.022987,254.103683,-58.022125,-77.852974,252.795364,34.128883,42.901455,252.429245,-44.410175,22.614628,250.662033,49.781197,-46.514301,254.491714,-57.752182,-77.756805,252.483246,33.722073,43.099915,252.043808,-44.076027,-40.996151,380.428253,-35.212978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
