date and time,Test num,dtm_13,dtm_24,de_13,de_24,dl,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
7/23/2023 21:00,119,14.08469009,3.0338974,14.07548141,6.117835999,-1.579816818,0.110602969,0.335943311,0.138849331,0.087289515,0.010487945,-0.067500097,-0.993837837
7/23/2023 21:00,120,16.89019394,2.101348877,14.71990585,10.039505,-0.724770546,0.116851654,0.336797978,0.140769784,0.088476393,0.011253954,-0.066924536,-0.993763749
7/23/2023 21:00,121,17.6901207,3.918785095,7.041423798,8.105995178,-0.682868958,0.10831938,0.332616959,0.136266725,0.064586585,0.009985804,-0.034476473,-0.997266408
7/23/2023 21:00,122,18.94913864,2.500236511,6.224300385,5.177001953,-1.982945442,0.115780137,0.333690617,0.135536467,0.058736239,0.011700539,-0.037554419,-0.997497805
7/23/2023 21:00,123,19.38942337,2.560855865,7.597110748,8.990882874,-2.16930294,0.116426648,0.335678234,0.142570051,0.070065862,0.013361646,-0.037211933,-0.996758509
7/23/2023 21:00,124,21.56521988,2.005371094,4.782604218,11.43722534,-1.739677429,0.120225842,0.337227609,0.147364362,0.075469985,0.015752899,-0.03579956,-0.996380711
7/23/2023 21:00,125,23.04262924,1.89641571,4.357913971,10.64054108,-2.194777489,0.126693798,0.338458866,0.149240593,0.0753594,0.018266216,-0.035781452,-0.99634668
7/23/2023 21:00,126,22.51577377,3.110832214,5.093402863,15.6749649,-2.080816269,0.117340485,0.34016186,0.159519831,0.091903513,0.021503922,-0.021881922,-0.995295135
7/23/2023 21:00,127,23.63098526,8.104801178,4.907001495,16.16990662,-2.09584713,0.111554991,0.342424035,0.172159918,0.104623806,0.022846254,-0.014216599,-0.994147734
7/23/2023 21:00,128,20.93170547,4.535011292,-2.037792206,16.77459717,-3.509613037,0.09976831,0.340638139,0.154036379,0.08301836,0.023463007,0.008927445,-0.996229434
7/23/2023 21:00,129,16.93068314,3.065727234,-2.801425934,17.86597443,-4.154184341,0.082839888,0.338710574,0.142376159,0.076750822,0.016281165,0.020790077,-0.996699576
7/23/2023 21:00,130,13.25762177,0.619029999,0.262283325,17.35984802,-4.708370209,0.074650254,0.337152475,0.131579461,0.071475397,0.013890875,0.020879417,-0.997126937
7/23/2023 21:00,131,15.90723038,0.506248474,-4.14422226,16.05715179,-3.758188248,0.075322278,0.33631746,0.126633925,0.06468895,0.012627646,0.023049302,-0.997558586
7/23/2023 21:00,132,17.45659256,2.364360809,-2.298027039,18.87505341,-2.42811203,0.072707196,0.335989048,0.134604424,0.076346619,0.018567493,0.033349311,-0.996350217
7/23/2023 21:00,133,16.77008438,1.682868958,4.177524567,10.82585907,-3.766649246,0.091322065,0.335828515,0.13021124,0.066404007,0.016430435,0.001938235,-0.997655563
7/23/2023 21:00,134,14.95401764,3.346416473,-0.028465271,3.685821533,-4.538430214,0.094480052,0.333620683,0.122531594,0.033248956,0.009840247,-0.009892408,-0.999349689
7/23/2023 21:00,135,14.8712616,3.170345306,-0.010345459,0.545780182,-4.369981766,0.097772989,0.332879094,0.118169249,0.021745692,0.008148082,-0.01923204,-0.999545336
7/23/2023 21:01,136,14.59364319,6.993312836,6.933483124,-4.252162933,-3.971723557,0.099282225,0.334600649,0.12668879,0.01855687,0.004024364,-0.038813639,-0.999065983
7/23/2023 21:01,137,13.90511322,5.950721741,8.707164764,-1.646438599,-5.167861938,0.103720635,0.336759363,0.128162699,0.024854263,0.001565925,-0.060498414,-0.997857583
7/23/2023 21:01,138,16.32569885,7.40436554,11.56148911,-2.538070679,-4.439249992,0.10619914,0.338650654,0.133239937,0.03508669,0.00281185,-0.06437615,-0.997304587
7/23/2023 21:01,139,16.12619781,7.458892822,12.01034164,2.625610352,-4.244077682,0.102892395,0.339015873,0.138583017,0.049207038,0.004149211,-0.058701638,-0.997053464
7/23/2023 21:01,140,12.08291626,4.603107452,13.95593643,3.930526733,-4.837491035,0.097500611,0.338767515,0.136079811,0.05609415,0.001538686,-0.060295595,-0.996601892
7/23/2023 21:01,141,8.743499756,2.57195282,17.82005692,4.24823761,-4.869589806,0.098224861,0.338782398,0.12970705,0.060684488,-0.005162467,-0.069920324,-0.995691677
7/23/2023 21:01,142,6.105178833,2.602191925,16.89236832,2.809936523,-6.143716812,0.095536,0.338482469,0.126109928,0.057862865,-0.006894429,-0.069467187,-0.99588083
7/23/2023 21:01,143,5.138767242,3.558746338,18.44270706,3.727851868,-6.033345222,0.093128977,0.339305596,0.124816389,0.060956626,-0.009829616,-0.071467989,-0.995529771
7/23/2023 21:01,144,8.536827087,2.210941315,18.83245468,-3.131076813,-5.650525093,0.102017571,0.339176939,0.117115038,0.040167988,-0.011469758,-0.087571545,-0.995281951
7/23/2023 21:01,145,8.220638275,1.809627533,18.94934464,-6.536647797,-6.080803871,0.106216954,0.339829222,0.109965489,0.022935966,-0.011712841,-0.096833934,-0.994966654
7/23/2023 21:01,146,7.024963379,5.288467407,19.52684402,-9.516613007,-5.922540665,0.108145813,0.341241682,0.112854699,0.014658025,-0.01219139,-0.107515234,-0.994020192
7/23/2023 21:01,147,3.951435089,4.165763855,18.66918564,-9.254108429,-5.756473541,0.100464724,0.340188088,0.109316365,0.011794937,-0.013985649,-0.101381665,-0.994678764
7/23/2023 21:01,148,0.719238281,4.045642853,17.96663284,-7.683429718,-5.389772415,0.092622267,0.338776056,0.107346376,0.008168872,-0.015303552,-0.091397068,-0.99566311
7/23/2023 21:01,149,1.882419586,1.55178833,24.04946518,-8.736099243,-4.542651176,0.108055089,0.339552987,0.101229849,0.010239731,-0.01472929,-0.112943165,-0.993438876
7/23/2023 21:01,150,-3.340377808,3.863132477,27.71979904,-11.43392181,-2.991067886,0.108793284,0.338792988,0.097073406,-0.003818338,-0.01699179,-0.122712122,-0.992289507
